iter	Passed	Remaining
720	35673	13804
721	35708	13749
722	35758	13699
723	35809	13651
724	35862	13602
725	35901	13549
726	35954	13501
727	36004	13452
728	36050	13401
729	36096	13350
730	36146	13301
731	36194	13251
732	36239	13200
733	36293	13152
734	36341	13102
735	36382	13050
736	36430	13000
737	36481	12951
738	36531	12902
739	36584	12853
740	36636	12805
741	36693	12758
742	36747	12710
743	36817	12668
744	36872	12620
745	36925	12572
746	36975	12523
747	37035	12477
748	37087	12428
749	37140	12380
750	37193	12331
751	37249	12284
752	37278	12228
753	37331	12179
754	37384	12131
755	37438	12083
756	37489	12034
757	37540	11985
758	37588	11935
759	37641	11886
760	37686	11835
761	37735	11786
762	37782	11735
763	37831	11686
764	37884	11637
765	37932	11587
766	37978	11537
767	38036	11490
768	38087	11441
769	38136	11391
770	38188	11342
771	38239	11293
772	38283	11242
773	38331	11192
774	38393	11146
775	38445	11097
776	38494	11047
777	38540	10997
778	38584	10946
779	38632	10896
780	38684	10847
781	38735	10798
782	38785	10748
783	38837	10700
784	38864	10644
785	38916	10595
786	38964	10545
787	39010	10495
788	39061	10446
789	39107	10395
790	39156	10345
791	39202	10295
792	39250	10245
793	39300	10196
794	39350	10147
795	39381	10092
796	39410	10038
797	39448	9985
798	39497	9936
799	39554	9888
800	39607	9840
801	39637	9785
802	39682	9735
803	39725	9684
804	39793	9639
805	39862	9594
806	39940	9551
807	40000	9504
808	40049	9455
809	40103	9406
810	40151	9357
811	40198	9306
812	40244	9256
813	40310	9210
814	40364	9162
815	40397	9109
816	40466	9064
817	40521	9015
818	40575	8967
819	40608	8914
820	40657	8864
821	40693	8811
822	40750	8764
823	40801	8714
824	40854	8666
825	40908	8617
826	40960	8568
827	41007	8518
828	41057	8469
829	41110	8420
830	41160	8370
831	41204	8320
832	41256	8271
833	41308	8222
834	41362	8173
835	41411	8123
836	41458	8073
837	41506	8024
838	41563	7975
839	41600	7923
840	41651	7874
841	41709	7826
842	41761	7777
843	41813	7728
844	41865	7679
845	41919	7630
846	41959	7579
847	42009	7530
848	42060	7480
849	42086	7427
850	42135	7377
851	42183	7327
852	42235	7278
853	42293	7230
854	42319	7177
855	42352	7124
856	42382	7071
857	42428	7021
858	42467	6970
859	42513	6920
860	42547	6868
861	42579	6816
862	42628	6767
863	42685	6719
864	42742	6670
865	42801	6622
866	42859	6574
867	42886	6521
868	42938	6472
869	42989	6423
870	43039	6374
871	43089	6325
872	43139	6275
873	43191	6226
874	43246	6178
875	43294	6128
876	43332	6077
877	43383	6028
